block_id,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id
b_69196,17033,1,0,ALTA SITA TO 66TH & CLARITA VIA BOND AVE,105775,3_merged_2831810,2829317
b_62104,17023,1,1,TO BROADWAY TAYLOR TC,105749,2_merged_2831811,2827887
b_69171,17032,1,0,ROSEMONT - TO EMERSON PARK STA,105771,3_merged_2831810,2829102
b_65717,17020,1,1,TO FOREST PARK TC ONLY,105728,1_merged_2831809,2827168
b_62167,16986,1,0,TO SHREWSBURY I-44 TC,105608,1_merged_2831809,2822382
a_65673,16776,1,1,TO NORTH COUNTY TC VIA DADE,104736,1_merged_2831806,2774629
a_65673,16776,1,1,TO NORTH COUNTY TC,104737,1_merged_2831806,2774628
a_65673,16776,1,1,TO NORTH COUNTY TC VIA DADE,104736,1_merged_2831806,2774627
a_65671,16776,1,1,TO NORTH COUNTY TC,104737,1_merged_2831806,2774626
a_65671,16776,1,1,TO NORTH COUNTY TC VIA DADE,104736,1_merged_2831806,2774625
a_65671,16776,1,1,TO NORTH COUNTY TC,104737,1_merged_2831806,2774624
a_65671,16776,1,1,TO NORTH COUNTY TC VIA DADE,104736,1_merged_2831806,2774623
a_65671,16776,1,1,TO NORTH COUNTY TC,104737,1_merged_2831806,2774622
a_65671,16776,1,1,TO NORTH COUNTY TC VIA DADE,104736,1_merged_2831806,2774621
a_65672,16776,1,1,TO NORTH COUNTY TC,104737,1_merged_2831806,2774620
b_62802,17023,1,1,TO BROADWAY TAYLOR TC,105749,3_merged_2831810,2827947
a_6271,16738,1,1,TO CENTRAL WEST END TC,104605,1_merged_2831806,2769272
b_69104,17028,1,0,MAIN ST STATE ST - TO 5TH & MO VIA FAIRVIEW HGTS STA,105758,2_merged_2831811,2828457
a_6274,16738,1,0,TO CATALAN TC,104603,2_merged_2831808,2769273
b_69221,17032,1,0,ROSEMONT - TO EMERSON PARK STA,105771,3_merged_2831810,2829109
b_65274,16993,1,1,TO CIVIC CENTER TC,105629,2_merged_2831811,2823266
a_65536,16768,1,1,TO BROADWAY TAYLOR TC,104701,1_merged_2831806,2773264
b_69171,17032,1,0,ROSEMONT - TO EMERSON PARK STA,105771,3_merged_2831810,2829108
b_62382,17001,1,0,TO CLAYTON TC,105645,3_merged_2831810,2824227
b_62381,17001,1,0,TO CLAYTON TC,105645,3_merged_2831810,2824226
b_62381,17001,1,0,TO CLAYTON TC,105645,3_merged_2831810,2824225
a_65544,16768,1,1,TO BROADWAY TAYLOR TC,104701,1_merged_2831806,2773265
b_62382,17001,1,0,TO CLAYTON TC,105645,3_merged_2831810,2824223
b_62382,17001,1,0,TO CLAYTON TC,105645,3_merged_2831810,2824222
b_62382,17001,1,0,TO CLAYTON TC,105645,3_merged_2831810,2824221
b_62382,17001,1,0,TO CLAYTON TC,105645,3_merged_2831810,2824220
a_6273,16738,1,0,TO CATALAN TC,104603,2_merged_2831808,2769276
b_62168,16986,1,0,TO DELMAR LOOP TC ONLY,105606,1_merged_2831809,2822385
b_62423,17004,1,0,TO MAPLEWOOD MANCHESTER TC,105653,3_merged_2831810,2824559
b_62424,17004,1,0,TO MAPLEWOOD MANCHESTER TC,105653,3_merged_2831810,2824558
b_62382,17001,1,0,TO CLAYTON TC,105645,3_merged_2831810,2824229
a_6274,16738,1,0,TO CATALAN TC,104603,2_merged_2831808,2769277
b_62231,16991,1,0,TO CIVIC CENTER TC,105624,2_merged_2831811,2823024
b_62231,16991,1,0,TO CIVIC CENTER TC,105624,2_merged_2831811,2823025
b_62232,16991,1,0,TO CIVIC CENTER TC,105624,2_merged_2831811,2823026
b_62234,16991,1,0,TO CIVIC CENTER TC,105624,2_merged_2831811,2823027
b_62231,16991,1,0,TO CIVIC CENTER TC,105624,2_merged_2831811,2823020
a_69173,16789,1,1,ROSEMONT - TO 49TH & STATE,104790,1_merged_2831806,2804098
b_62231,16991,1,0,TO CIVIC CENTER TC,105624,2_merged_2831811,2823022
b_62232,16991,1,0,TO CIVIC CENTER TC,105624,2_merged_2831811,2823023
b_62113,16983,1,0,TO CENTRAL WEST END TC,105597,1_merged_2831809,2821722
a_69228,16789,1,1,ROSEMONT - TO 49TH & STATE,104790,1_merged_2831806,2804099
b_62233,16991,1,0,TO CIVIC CENTER TC,105624,2_merged_2831811,2823028
b_62234,16991,1,0,TO CIVIC CENTER TC,105624,2_merged_2831811,2823029
b_65592,17014,1,0,TO CIVIC CENTER TC,105694,2_merged_2831811,2826380
a_62165,16743,1,0,TO DELMAR LOOP TC ONLY,104623,1_merged_2831806,2770083
b_65491,17009,1,0,TO ROCK ROAD TC,105672,2_merged_2831811,2825293
a_62165,16743,1,0,TO DELMAR LOOP TC ONLY,104623,1_merged_2831806,2770082
a_6273,16738,1,0,TO CATALAN TC,104603,2_merged_2831808,2769278
b_65777,17022,1,0,TO CIVIC CENTER TC,105734,2_merged_2831811,2827553
a_69172,16789,1,1,ROSEMONT - TO 49TH & STATE,104790,1_merged_2831806,2804095
b_62801,17023,1,0,TO HAMPTON GRAVOIS TC,105746,2_merged_2831811,2827836
b_67114,17042B,1,0,BLUE LINE TO FAIRVIEW HEIGHTS,105813,2_merged_2831811,2830398
a_65344,16755,1,0,TO CIVIC CENTER TC,104656,3_merged_2831807,2771578
a_65341,16755,1,0,TO CIVIC CENTER TC,104656,1_merged_2831806,2771501
a_65343,16755,1,0,TO CIVIC CENTER TC,104656,3_merged_2831807,2771579
a_67108,16801B,1,0,BLUE LINE TO FAIRVIEW HEIGHTS,104832,1_merged_2831806,2805495
a_67104,16801B,1,0,BLUE LINE TO FAIRVIEW HEIGHTS,104832,1_merged_2831806,2805494
a_67116,16801B,1,0,BLUE LINE TO FAIRVIEW HEIGHTS,104832,1_merged_2831806,2805497
a_67109,16801B,1,0,BLUE LINE TO FAIRVIEW HEIGHTS,104832,1_merged_2831806,2805496
a_67106,16801R,1,0,RED LINE TO SHILOH SCOTT,104837,1_merged_2831806,2805491
a_67102,16801R,1,0,RED LINE TO SHILOH SCOTT,104837,1_merged_2831806,2805490
a_67103,16801R,1,0,RED LINE TO SHILOH SCOTT,104837,1_merged_2831806,2805493
a_67110,16801R,1,0,RED LINE TO SHILOH SCOTT,104837,1_merged_2831806,2805492
a_69225,16789,1,1,ROSEMONT - TO 49TH & STATE,104790,1_merged_2831806,2804091
a_67119,16801B,1,0,BLUE LINE TO FAIRVIEW HEIGHTS,104832,1_merged_2831806,2805499
a_67114,16801B,1,0,BLUE LINE TO FAIRVIEW HEIGHTS,104832,1_merged_2831806,2805498
b_67104,17042B,1,0,BLUE LINE TO FAIRVIEW HEIGHTS,105813,1_merged_2831809,2830037
a_62805,16740,1,0,TO CENTRAL WEST END TC,104614,3_merged_2831807,2769626
b_67114,17042B,1,0,BLUE LINE TO FAIRVIEW HEIGHTS,105813,1_merged_2831809,2830036
a_62808,16740,1,0,TO CENTRAL WEST END TC,104614,3_merged_2831807,2769621
b_67116,17042B,1,0,BLUE LINE TO FAIRVIEW HEIGHTS,105813,1_merged_2831809,2830035
a_62807,16740,1,0,TO CENTRAL WEST END TC,104614,3_merged_2831807,2769620
a_69325,16793,1,1,O'FALLON FAIRVIEW HGHTS - TO FAIRVIEW HGHTS STA VIA ST. CLAIR SQUARE,104808,2_merged_2831808,2796249
a_69322,16793,1,1,O'FALLON FAIRVIEW HGHTS - TO FAIRVIEW HGHTS STA VIA ST. CLAIR SQUARE,104808,2_merged_2831808,2796248
b_67102,17042R,1,0,RED LINE TO SHILOH SCOTT,105818,1_merged_2831809,2830034
a_62110,16740,1,0,TO CENTRAL WEST END TC,104614,3_merged_2831807,2769623
b_65273,16993,1,1,TO CIVIC CENTER TC,105629,3_merged_2831810,2823319
a_69335,16793,1,1,O'FALLON FAIRVIEW HGHTS - TO FAIRVIEW HGHTS STA,104805,2_merged_2831808,2796241
a_69336,16793,1,1,O'FALLON FAIRVIEW HGHTS - TO FAIRVIEW HGHTS STA,104805,2_merged_2831808,2796240
